author,url,text,section,title,sub_title,date
Redação,https://www.cartacapital.com.br/justica/promotores-assinam-carta-de-denuncia-de-ilegalidades-contra-lula/,"Na visita dos promotores e promotoras, houve um destaque para a fala de Afrânio Silva Jardim, professor emérito da Universidade do Estado do Rio de Janeiro. Ao lado do jornalista Juca Kfouri, Jardim manifestou toda sua indignação com o caso. Assista:Veja a carta na íntegra assinada pelos promotores e promotoras:Ao senhor Escrevemos esta carta para manifestar a você, primeiramente, respeito. Respeito por ter nascido num local simples, vindo de uma família pobre, obrigada a batalhar duro para sobreviver. Respeito por ter se retirado, ainda muito cedo, de sua terra natal, em busca de uma vida melhor. Respeito por representar os milhões de brasileiros que, durante a história, trilharam o mesmo caminho à procura de dignidade.Respeito por ter tido que escolher o trabalho à custa dos estudos. Por ter sacrificado parte importante da vida para angariar alguns trocados – naquele momento, imprescindíveis. Respeito por ter iniciado, ainda quando adolescente, o exercício da profissão que o acompanharia por quase toda a vida. Respeito por mostrar – para quem quer e consegue enxergar – que a meritocracia, no Brasil, é uma ideia falaciosa (quantos companheiros tiveram o mesmo sucesso que você, não é mesmo?).Respeito por ter perdido sua primeira esposa e filho de forma trágica. Respeito por sua intensa atividade sindical. Respeito por reafirmar o fato de que direitos hoje conquistados e absorvidos por ordenamentos jurídicos de todo o mundo somente se tornaram realidade em razão de muita luta, suor, sangue e lágrimas. Respeito por mostrar que a luta é parte indissociável da evolução da humanidade.Expressamos também nossa admiração. Admiração por ter atuado no sindicato de um dos maiores polos industriais do Brasil. Admiração por ter sido eleito presidente da agremiação por duas vezes. Por ter participado, durante a ditadura militar, da organização de greves históricas e memoráveis. Por levar a luta a suas últimas consequências – até mesmo à prisão. Admiração por demonstrar que a prisão sempre foi e sempre será instrumento de controle social.Admiração por ter sido um dos fundadores daquele que viria a ser o maior partido do Brasil em número de filiados, e que chegaria à presidência da República por quatro vezes consecutivas. Admiração por ter lutado pelo fim do período de exceção e integrado a frente suprapartidária formada com esse objetivo. Admiração por ter sido o deputado federal constituinte mais votado do país, e por ter feito parte do pacto constitucional que rege o Estado e a sociedade brasileira até os dias atuais – apesar dos constantes ataques contra seus princípios basilares.Admiração por ter se tornado, apesar de todo o preconceito, o primeiro presidente da República vindo da classe operária, reelegendo-se de forma inquestionável. Admiração por ter implantado – e isso é reconhecido internacionalmente – importantes programas de distribuição de renda, de diminuição da desigualdade, de combate à fome e à pobreza (objetivos do milênio), de incentivo à educação, à cultura e ao esporte. Por ter procurado governar para todos. Por ter acreditado na paz e na união como nortes.Necessário, por fim, externar nossa solidariedade. Solidariedade por ter sido atingido pelo que entendemos serem equívocos jurídicos. Equívocos jurídicos como sua condução coercitiva ilegal e a divulgação ilegal de conversas particulares suas e de seus familiares (a ilegalidade dessas práticas foi reconhecida pelo STF). Solidariedade por ser um símbolo da injustiça que se pratica contra acusados e condenados negros e pobres do país, presos sem fundamento, em locais degradantes, sem culpa definitivamente reconhecida.Solidariedade por ter perdido sua segunda esposa em meio à perseguição judicial e midiática levada a efeito contra sua família. Solidariedade por nos demonstrar que não podemos mais contemporizar com o processo penal do espetáculo, em que pessoas são expostas, acusadas, julgadas e condenadas sem o sagrado direito de defesa. Solidariedade por não poder estar com sua família durante o velório do seu irmão Vavá.Solidariedade por não mais ter seu querido Arthur. Por não ter podido ficar ao seu lado em seus últimos dias de vida. Arthur partiu cedo, mas talvez tenha sido dele a missão de frear o ódio, o rancor, o ressentimento e a violência jogada em nossas faces cada vez que entramos em redes virtuais e até mesmo nas ruas. Seu sorriso marcante há de demonstrar que “a pureza da resposta das crianças” é um caminho que pode ser alcançado. E que não podemos parar de caminhar. Afrânio Silva Jardim – Procurador de Justiça aposentadoPlínio Antonio Britto Gentil – Procurador de JustiçaJacson Rafael Campomizzi – Procurador de JustiçaMargaret Matos de Carvalho – Procuradora Regional do TrabalhoJacson Luiz Zilio – Promotor de JustiçaGustavo Roberto Costa – Promotor de JustiçaRoberto Tardelli – Procurador de Justiça aposentadoRomulo de Andrade Moreira – Procurador de JustiçaHaroldo Caetano da Silva – Promotor de JustiçaSueli de Fátima Buzo Riviera – Procuradora de Justiça aposentadaInês do Amaral Buschel – Promotora de Justiça aposentadaLuiz Henrique Manoel da Costa – Procurador de JustiçaWalter Moraes – Promotor de JustiçaAndrea Beatriz Rodrigues de Barcelos – Promotora de JustiçaLucia Helena Barbosa de Oliveira – Promotora de JustiçaWagner Gonçalves – Procurador da República aposentado, ex-Sub-Procurador Geral da República, ex-Procurador Federal dos Direitos do Cidadão, ex-Presidente da Associação Nacional dos Procuradores da RepúblicaÁlvaro Augusto Ribeiro da Costa – Procurador da República aposentado, ex-Sub-Procurador Geral da República, ex-Procurador Federal dos Direitos do Cidadão, ex-Presidente da Associação Nacional dos Procuradores da República, ex-Advogado-Geral da União.Antonio Alberto Machado – Promotor de justiça aposentado",Justiça,Promotores assinam carta de denúncia de ilegalidades contra Lula,"Membros do Ministério Público Estadual, Federal e do Trabalho se reuniram em torno das denúncias das ilegalidades contra Lula",06/04/2019 13:31:10
Alexandre Putti,https://www.cartacapital.com.br/mundo/mortalidade-infantil-cresce-75-em-5-anos-na-venezuela/,"O estudo avaliou a situação da saúde no país de Nicolás Maduro, que sofre com uma crise política e humanitária. A equipe fez 156 entrevistas no período de 12 meses ouvindo médicos que atuam na Venezuela e cidadãos que cruzaram a fronteira do Brasil ou da Colômbia.
Desde 2017 não existe uma comunicação oficial do governo venezuelano sobre os dados da saúde do país. Para chegar aos números foram utilizadas pesquisas de órgãos internacionais que defendem os direitos humanos e as entrevistas realizadas pela equipe. Os médicos consultados também enviaram documentos.  
A conclusão não foi animadora: o estudo se deparou com um sistema de saúde em colapso total, aumentando os níveis de mortalidade materna e infantil; a propagação de doenças evitáveis ​​por vacinação, como o sarampo e a difteria; e o aumento no número de doenças infecciosas, como malária e tuberculose.
“Embora o governo tenha parado de publicar dados oficiais sobre nutrição em 2007, pesquisas realizadas por organizações e universidades venezuelanas documentam altos níveis de insegurança alimentar e desnutrição infantil, e dados disponíveis mostram altas admissões hospitalares de crianças desnutridas”, diz o relatório.  Sobre a mortalidade infantil foram utilizados dados da Unicef que mostram uma quase duplicação das taxas nos últimos cinco anos. De 14,6 mortes por 1.000 nascidos vivos em 2012 para 25,7 mortes por 1.000 nascidos vivos em 2017. Em um dos hospitais do país, a situação é ainda pior: de 2016 a 2018, as mortes neonatais aumentaram 54% e o número de mortes infantis dobrou.
A ajuda humanitária internacional à Venezuela teve crescimento em 2018, após uma mudança no discurso do governo de negar totalmente a crise humana e econômica. Maduro, entretanto, sustentou (e sustenta) que a escassez tem a ver com as sanções impostas pelos EUA. Organizações internacionais e não-governamentais têm relatado consistentemente que a ajuda à Venezuela não é suficiente para cobrir as necessidades urgentes da população.
Tamara Taraciuk é venezuelana radicada na Argentina e foi uma das responsáveis pelo estudo. Ela conta que a conclusão do relatório é de que a crise venezuelana é consequência de uma má gestão. “O governo de Nícolas Maduro esconde os dados para maquiar a magnitude da crise. Mais de 7 milhões de pessoas precisam de ajuda humanitária na Venezuela, precisamos agir”, disse.  
Segundo Tamara, o secretário-geral da ONU, António Guterres, deve liderar esforços para desenvolver um plano abrangente de resposta humanitária, dentro e fora do país. “Nada deve ser feito diretamente ao Estado. Toda a ajuda deve ser direcionada à ONU. Os países precisam agir, mas sem envolver a política”, pontua.
“A combinação de escassez de medicamentos e de alimentos, juntamente com a disseminação de doenças nas fronteiras da Venezuela, equivale a uma emergência humanitária complexa que requer uma resposta completa”, conclui Tamara.
Assista ao vídeo sobre a campanha:

",Mundo,Mortalidade infantil cresce 75% em 5 anos na Venezuela,O país comandado por Maduro é o único da América do Sul que retornou a níveis observados nos anos 90,04/04/2019 03:30:11
Deutsche Welle,https://www.cartacapital.com.br/mundo/pib-da-venezuela-vai-encolher-25-em-2019-preve-banco-mundial/,"“O PIB [Produto Interno Bruto] contraiu 17,7% em 2018, e é provável que ele encolha 25% em 2019”, afirmam os analistas do Banco Mundial no documento. Caso as projeções se confirmem, a queda acumulada desde 2013 será de 60%.  “Nada poderia preparar a região para a escalada da crise econômica, social e humanitária na Venezuela, de longe a pior crise na história moderna da América Latina”, diz o órgão.O Banco Mundial considera que as condições socioeconômicas da Venezuela pioram rapidamente devido à queda do preço do petróleo, além de um ajuste fiscal desordenado e uma má gestão da economia por parte do governo de Nicolás Maduro.A instituição critica ainda a monetização da dívida do setor público promovida pelo regime, uma medida que, segundo o banco, prejudicou muito a economia do país. “As políticas altamente distorcivas [de Maduro], um ajuste fiscal confuso, a monetização da dívida do setor público e a má gestão econômica em geral têm causado hiperinflação, desvalorização cambial e uma contração maciça no produto e no consumo”, diz o relatório.  A inflação chegou a 1.370.000% no fim do ano passado. Segundo a previsão do Banco Mundial, o índice deve fechar 2019 em 10.000.000%, confirmando uma estimativa apresentada pelo Fundo Monetário Internacional (FMI) em outubro.O relatório regional do Banco Mundial também inclui estimativas de fontes não oficiais, que indicam que 90% da população da Venezuela vive em condições de pobreza. A agência da ONU para os Refugiados e a Organização Internacional para as Migrações, mencionadas pelo Banco Mundial, preveem que 5 milhões de pessoas terão deixado o país até o fim de 2019.A Venezuela é governada por Maduro desde 2013, após a morte de Hugo Chávez. Desde janeiro, o chavista, cuja reeleição em 2018 é acusada de fraudulenta pela comunidade internacional, tem sua autoridade desafiada pelo líder oposicionista Juan Guaidó, reconhecido como presidente legítimo do país por mais de 50 nações.No documento divulgado nesta quinta-feira, o Banco Mundial diminui de 1,6% para 0,9% a previsão do crescimento econômico da região em 2019. A queda, segundo o relatório, se deve aos avanços “frágeis ou negativos” do PIB do Brasil, México e Argentina e ao “total colapso da Venezuela”. Se o país de Maduro não for levado em conta, a instituição prevê, no entanto, que a América Latina crescerá 1,9% em 2019 e 2,7% em 2020.A previsão de crescimento para o Brasil foi mantida em 2,2% em 2019. Já em 2020, o Banco Mundial estima um aumento de 2,5%.",Mundo,"PIB da Venezuela vai encolher 25% em 2019, prevê Banco Mundial",Entidade afirma que o país vive a pior crise da história da América Latina e inflação deve chegar a 10 milhões por cento,05/04/2019 17:40:45
Redação,https://www.cartacapital.com.br/politica/mourao-atribui-video-pro-golpe-a-bolsonaro-decisao-do-presidente/,"No domingo 31, o canal oficial do Palácio do Planalto no WhatsApp compartilhou um vídeo apócrifo, em que um senhor já idoso defende o golpe militar. “O Exército salvou o Brasil”, diz ele. A razão da ruptura democrática, conforme narra o ator, era necessidade de combater uma revolução comunista que estava prestes a acontecer.Ele diz ainda que havia um clima de “medo e ameaça” causado por supostos crimes cometidos por comunistas, como sequestros e assassinatos, além de “greves nas fábricas”. E que o movimento que levou os militares a tomarem o poder teria partido da mídia e do “povo de verdade — pais, mães, Igreja”.Ainda não há informações sobre a autoria do vídeo. À imprensa, o Planalto afirmou que não vai comentar o caso. ",Política,Mourão atribui vídeo pró-golpe a Bolsonaro: “decisão do presidente”,"Canal oficial do Planalto compartilhou um vídeo apócrifo, em que um senhor já idoso diz que a Forças Armadas ‘salvaram’ o país",01/04/2019 17:58:36
Deutsche Welle,https://www.cartacapital.com.br/mundo/pobreza-na-argentina-atinge-um-terco-da-populacao-urbana/,"Trata-se do número mais alto desde a crise econômica de 2001.
Na comparação com o segundo semestre de 2017, a pobreza urbana cresceu 6,3 pontos percentuais no país. São 8,9 milhões de argentinos vivendo nessa situação.
Além disso, 6,7% da população, ou 1,8 milhão de argentinos, vive abaixo do nível de indigência, um crescimento de 1,8 ponto percentual ante o semestre anterior.    São números que “doem”, admitiu o governo argentino. “A pobreza dói, claramente. Hoje é um dia triste, como foi ontem, como foi um ano atrás, porque lamentavelmente a pobreza é alta na Argentina há muitos anos”, disse a ministra de Desenvolvimento Social, Carolina Stanley.
Stanley afirmou que o governo do presidente , que chegou à Presidência no fim de 2015 com promessas de “pobreza zero”, trabalha “todos os dias para reverter essa situação” com ações focadas em dar “dignidade” a “cada uma das pessoas e cada uma das famílias que vivem assim”.
Os argentinos revivem o pesadelo da Era Menem (Foto: AFP)Um grupo de sindicalistas se manifestou às portas do Indec para protestar contra a política econômica de Macri e distribuiu 500 quilos de pão de graça, rejeitando simbolicamente o aumento da pobreza.
O empobrecimento da população coincide com a aceleração da , que encarece a cesta básica e serviços utilizados para medir a linha de indigência e pobreza. O índice de preços ao consumidor acumulou alta de 47,6% na Argentina no ano passado, maior avanço em 27 anos, diante de uma queda de 2,5% do Produto Interno Bruto.    Para calcular as cifras, o Indec leva em consideração o nível de vida nos 31 centros urbanos mais povoados do país, o que abrange 27,8 milhões de habitantes. A Argentina tem mais de 40 milhões de moradores.
O relatório publicado nesta quinta é o sexto sobre pobreza realizado pelo Indec desde que Macri chegou ao poder. Além disso, esta é a segunda vez nos últimos três anos que o instituto registra uma alta no índice de pobreza.
Apesar disso, Macri, que pode disputar a reeleição em outubro, assegurou na quarta-feira à mídia local que o governo “está no caminho correto”.
“Sou o primeiro a saber que todos tiveram que ajustar seu orçamento, que custa mais chegar ao fim do mês, mas este é o caminho da construção sobre bases sólidas”, disse.
Para encarar a crise econômica, Macri fez um acordo com o  para um empréstimo de 57 bilhões de dólares e se comprometeu a realizar um ajuste que permita ao país encerrar o ano em equilíbrio fiscal.
",Mundo,Pobreza na Argentina atinge um terço da população urbana,"O problema nas cidades afeta 8,9 milhões de argentinos e avança em paralelo à subida da inflação, que chegou a 47,6% no ano passado",29/03/2019 16:02:41
Thais Reis Oliveira,https://www.cartacapital.com.br/politica/mourao-critica-bpc-se-tem-minimo-aos-65-para-que-contribuir/,"Mourão atuou menos como antípoda e mais como um emissário de Bolsonaro. Reforçou que cumpria uma missão do presidente para levar a reforma adiante. “Nosso governo tem três vetores: difundir, convencer e ter paciência para negociar tudo o que tiver sendo negociado.” 
   No discurso, trazido em papel, fez jus ao Mourão da época de campanha: criticou o reajuste do salário mínimo acima da inflação (“mínimo que não é mínimo”) e se referiu à ditadura como “anos gloriosos” da economia do país.
Mourão, vice-presidente (Foto: ABr)Foi aplaudido três vezes: ao prometer aliviar a carga tributária e manter a proteção às empresas brasileiras e endurecer a reforma trabalhista de Michel Temer. “Infelizmente, alguns políticos pensam que estamos no século XIX, e levam direitos a um paradoxo: tudo tem que estar escrito na Constituição. A legislação trabalhista divide o País, a reforma tem que ser levada adiante.”
Evocando Margaret Tatcher, Ronald Reagan e Deng Xiaoping, ele também defendeu que o Estado deixe de participar dos mercados: “Não só comércio, mas também saúde e educação. Eles andam com as próprias pernas.”    


",Política,"Na Fiesp, Mourão ataca BPC: “Com mínimo aos 65, para que contribuir?”","Fora do tom ‘paz e amor’, o vice foi aplaudido por empresários ao prometer aliviar impostos e aprofundar reformas",26/03/2019 22:58:07
Eduardo Fagnani,https://www.cartacapital.com.br/economia/entenda-como-a-reforma-da-previdencia-aprofunda-as-desigualdades/,"  
    
Os trabalhadores rurais terão ainda mais dificuldade para se aposentar (Foto: Valter Campanato/ABr)  
  
  Os sindicatos prometem resistir (Foto: Rovena Rosa/ABr)

",Economia,Entenda como a reforma da Previdência aprofunda as desigualdades,"Da economia estimada de 1 trilhão de reais, 75% virão da subtração de direitos dos pobres. E não do corte de privilégios das corporações",25/03/2019 03:30:40
Alexandre Putti,https://www.cartacapital.com.br/sociedade/77-defendem-aumento-de-impostos-para-ricos-diz-datafolha/,"A pesquisa foi realizada entre os dias 12 e 18 de fevereiro e entrevistou 2086 pessoas. Segundo os idealizadores, o intuito do levantamento é ampliar o debate sobre as desigualdades.O resultado chamou atenção por ter uma baixa adesão ao projeto de um Estado mínimo, defendido pelo governo Bolsonaro. Mostram os dados:“Só avançaremos no combate às desigualdades se os temas do racismo, da discriminação de gênero e do respeito à diversidade, da discriminação pelo endereço de moradia, do assassinato de jovens de periferia, tiverem a mesma urgência que os temas econômicos e fiscais”, afirma Katia Maia, diretora-executiva da Oxfam Brasil.‘Não dê o peixe, ensine a pescar.” O ditado é muito utilizado por políticos e críticos de políticas sociais, como o Bolsa Família, e defensores do Estado mínimo. O resultado da pesquisa, porém, mostra algo que deve desagradar Guedes, Bolsonaro e afins.58% dos entrevistados não acreditam que o trabalho equaliza as chances dos mais pobres. E 51% não creem que a educação das crianças mais pobres equaliza suas chances de uma vida de mais sucesso.Mesmo com maioria dos entrevistados percebendo os desafios para que as pessoas pobres possam ter uma vida melhor, uma parcela da população ainda não percebe que a mobilidade social depende de uma combinação de políticas e fatores sociais, econômicos e territoriais que vão além do esforço individual. Nascer em favelas e nas periferias de grandes centros urbanos, ser negro ou negra define, em diferentes aspectos, o futuro de cidadãs e cidadãos do nosso país.Mesmo o Brasil passando por uma crise econômica, 70% dos entrevistados acreditam que estarão na classe média ou classe média alta em um período de cinco anos. Entretanto, 57% acreditam que as desigualdades não diminuirão nos próximos meses.Há ainda um grupo minoritário de 4% que se vê dentre os “ricos” no período de cinco anos.    ",Sociedade,"77% defendem aumento de impostos para ricos, diz Datafolha","Segundo os idealizadores, o intuito do levantamento é ampliar o debate sobre as desigualdades",08/04/2019 03:30:51
Rodrigo Martins,https://www.cartacapital.com.br/politica/reforma-de-bolsonaro-e-bem-pior-que-a-de-temer-diz-presidente/,"“A reforma de Bolsonaro é bem pior que a de Temer”, alerta Vagner Freitas, presidente da Central Única dos Trabalhadores (CUT), a apontar as ameaças embutidas na proposta de retirar os critérios de concessão dos benefícios da Constituição e os interesses por trás da ideia de adotar o modelo de capitalização individual.O movimento surge um contexto dramático para os sindicatos, sob forte ataque do governo, que não poupa esforços para acabar com a sustentação financeira deles. A MP 873, para citar um exemplo, impede descontos de mensalidades e contribuições sindicais na folha de pagamento dos trabalhadores. “Como não conseguem derrotar politicamente o movimento sindical, tentam asfixiá-lo financeiramente”, diz. Impedir o desmonte da previdência pública. Na verdade, é um “esquenta” para uma futura greve geral, que vamos fazer se não conseguirmos impedir o avanço dessa proposta no Congresso Nacional. É bem pior. A reforma de Bolsonaro tem dois fatores que não existiam na de Temer. Primeiro, ela retira da Constituição as regras para concessão de benefícios, que passariam a ser regidas por leis ordinárias. Ou seja, não seria mais necessário ter maioria qualificada, 308 votos, para aprovar na Câmara mudanças na aposentadoria. Bastaria maioria simples. Além disso, estão acabando com a ideia de Previdência universal, baseada no princípio da solidariedade, da repartição de recursos, de seguridade. Pretendem trocar isso por um fundo de capitalização, essa é a grande maldade. O trabalhador terá que contribuir com um valor muito maior do que ele paga hoje, pois esses fundos serão geridos pelo mercado privado. Cada um terá uma conta individual, fará a sua própria poupança ao longo da vida. Qual trabalhador vai conseguir fazer isso para ter alguma proteção na velhice? O Brasil tem 12 milhões de desempregados, grande parte dos trabalhadores não são formalizados. De onde vem esse emprego com qualidade, capaz de permitir a cada um montar a sua própria poupança? Com essa carteira de trabalho verde-amarela, institucionalizam o bico. Estão acabando com o conceito de emprego, legalizaram o trabalho precário. Sim. Você vai fazer bico de segurança, de garçom, mas não tem nada garantido. Vai trabalhar quando o patrão quer, não terá renda certa para sustentar a sua família. Muitos trabalhadores não entendem isso, acham que terão a liberdade de trabalhar para quem quiser, na hora que desejar. Isso não existe. O patrão é que vai dispor da sua hora, é ele que diz quando você deve comparecer, quando vai te pagar. O funcionário está na mão dele. Ainda tem gente que nutre aquela ilusão alimentada pelos filmes de Hollywood, do sujeito que veste um avental, trabalha em um restaurante por algumas horas, recebe no mesmo dia, atravessa a rua e toma uma cerveja. Isso é ficção, não é a nossa realidade. Acredito que sim, porque a atrocidade dessa reforma é muito maior do que a do governo Temer. Precisamos, claro, fazer um bom trabalho de comunicação para que os trabalhadores saibam o que está em jogo. Bolsonaro está fazendo a lição de casa. Temer foi derrotado pelos sindicatos, pelos movimentos sociais e pelos trabalhadores. Não conseguiu a fazer a reforma que pretendia, e que também havia sido proposta pelo mercado, pelos mesmos atores que orientaram Paulo Guedes, o ministro da Economia de Bolsonaro. Mesmo com uma maioria conservadora no Congresso, Temer foi derrotado. É por isso que eles desejam tanto acabar com o movimento sindical. Bolsonaro sabe que o principal instrumento de luta da classe trabalhadora é o sindicato. De forma inconstitucional, eles querem impedir os descontos em folha das mensalidades que os trabalhadores pagam aos sindicatos como associados. Como não conseguem derrotar politicamente o movimento sindical, tentam asfixiá-lo financeiramente. A sociedade sabe que os sindicatos são importantes para a democracia, para defender os trabalhadores. Quando entende que não é feito um trabalho de qualidade, pede a troca da diretoria, mas não defende o fim da entidade. Eles sabem que não conseguem derrotar essa ideia, então tentam sufocar, acabar com a sustentação financeira.Com a reforma trabalhista de Temer, eles já acabaram com o imposto sindical (equivalente um dia de trabalho no ano). Tudo bem, a CUT entende que essa contribuição não deveria mesmo ser obrigatória. Sempre defendeu a substituição do imposto sindical pela taxa negocial dos acordos coletivos, aprovadas em assembleia. Agora, eles querem impedir o desconto dessa taxa negocial e também das mensalidades de trabalhadores sindicalizados. A MP 873 diz que é vedado ao empregador fazer qualquer desconto sindical em sua folha de pagamento, mesmo que isso tenha sido negociado em acordo coletivo. Após a reforma trabalhista, vários sindicatos filiados à CUT conseguiram ótimos acordos coletivos, que permitiam o desconto em folha da taxa negocial e da mensalidade dos trabalhadores sindicalizados. Bancários, químicos, metalúrgicos, entre outras categorias. Outro fato que mostra a falta de compromisso dessa turma com o discurso: eles fizeram questão de aprovar a prevalência do negociado sobre o legislado, não é mesmo? Pois bem, veja o exemplo dos bancários, a minha categoria. Foi feito um acordo para 400 mil trabalhadores com os bancos, e ele previa os descontos de contribuições assistenciais ou de mensalidades dos associados do sindicato. Então, agora, o negociado não vale mais? O objetivo é claro: querem inviabilizar os sindicatos para conseguir destruir a previdência pública sem resistência. Ah, sim. E o pior: não há nenhuma política de retomada do crescimento da economia. Os salários se desvalorizam, os empregos são precarizados. Como disse anteriormente, trabalho sem segurança e sem benefícios não é emprego, é bico. Nesse cenário, qualquer 30 reais, 40 reais faz falta no fim do mês. Mesmo sabendo da importância dos sindicatos, se o trabalhador precisar cortar gastos, ele o fará com aquilo que não é emergencial. Ele não vai cortar a escola dos filhos, não vai cortar a comida que leva à mesa de casa, não deixará de comprar remédios. Mas pode cancelar a assinatura do jornal, atrasar as mensalidades do sindicato… Para o governo, isso é decisivo para desmobilizar os trabalhadores e tomar o direito à aposentadoria, retirar os benefícios que o trabalhador tem. Daí a importância de fazer muito trabalho de base e grande esforço de comunicação, os brasileiros precisam saber disso. Vai acontecer se esse projeto avançar no Congresso, quando houver a perspectiva de ser levado à votação. Da outra vez, fizemos um trabalho muito importante com os deputados. O mote da campanha era: “Se votar contra o trabalhador, não vai voltar”. Muitos não voltaram, inclusive o Rogério Marinho, hoje secretário especial de Previdência e Trabalho. Ele era deputado federal pelo Rio Grande do Norte e foi relator da reforma da Previdência de Temer. Dissemos a ele: “Você não vai voltar”. De fato, ele não voltou, não conseguiu se reeleger, mas ganhou sobrevida no governo Bolsonaro. Vamos continuar fazendo esse trabalho de convencimento com os parlamentares e a população.",Política,"“Reforma de Bolsonaro é bem pior que a de Temer”, diz presidente da CUT",Vagner Freitas alerta para os riscos embutidos na proposta e fala sobre a asfixia financeira imposta pelo governo aos sindicatos,22/03/2019 03:30:36
Deutsche Welle,https://www.cartacapital.com.br/mundo/trump-diz-que-estados-unidos-nao-aceitarao-mais-refugiados/,"Trump parecia fazer referência a um programa que o governo americano começou a implementar neste ano, batizado como “Protocolo de Proteção de Migrantes”. O projeto prevê que os agentes que atuam na fronteira exijam que os imigrantes centro-americanos e que tentam entrar nos EUA esperem no México a análise do pedido de refúgio. No entanto, Trump deu a entender que quer que o México deporte os imigrantes que esperam no território do país a conclusão do procedimento de pedido de refúgio nos EUA.“Quando está lotado, está lotado. Não podemos aceitá-los. Que voltem para o México, e o México os devolverá a seus países”, completou o presidente americano, se referindo aos imigrantes. A ideia contradiz as leis internacionais sobre asilo, que impedem devolver o migrante ao país do qual ele fugiu.    No lado mexicano da fronteira, cerca de 200 pessoas protestaram contra o presidente. Elas balançaram bandeiras dos EUA e do México e carregaram cartazes com inscrições como “Pare a separação das famílias” e “Se você construir o muro, minha geração vai derrubá-lo”.Na cidade fronteiriça, Trump se encontrou com funcionários da polícia de fronteira americana, que afirmaram que o fluxo de migrantes seria incontrolável e que a capacidade estaria esgotada. Trump anunciou que muitas novas barreiras de fronteira serão construídas nos próximos meses.Ele falou novamente de uma emergência e lamentou as graves deficiências no sistema migratório dos Estados Unidos. As declarações do presidente foram feitas poucas horas depois de ele ter pedido ao Congresso para eliminar totalmente o sistema de asilo nos EUA. “O Congresso tem que atuar […] É preciso se desfazer de todo o sistema de asilo porque ele não funciona. E francamente, também deveríamos nos desfazer dos juízes. Não podemos ter um caso judicial cada vez que alguém põe os pés em nosso território”, disse o presidente a jornalistas na Casa Branca.Segundo a atual legislação americana, os imigrantes ilegais que entram no país e reivindicam refúgio têm direito a uma audiência num tribunal de imigração, desde que sejam aprovados numa primeira entrevista. Na ocasião, um funcionário americano avalia se o candidato tem um “medo crível” de perseguição em seu país de origem.  Antes de deixar Washington, o republicano havia se distanciado de suas ameaças anteriores de fechar a fronteira com o México. Segundo Trump, desde que havia falado sobre essa opção, as autoridades mexicanas passaram a agir com mais veemência contra imigrantes ilegais e impedir que continuassem sua viagem para os Estados Unidos.Em vez de fechar a fronteira, Trump afirmou que agora pretende tributar as importações de automóveis do México com taxas de importação de 25%, caso o país não atue contra a migração ilegal e o contrabando de drogas.",Mundo,Trump diz que Estados Unidos não aceitarão mais refugiados,Presidente americano afirma que país está ‘lotado’. Ele ameaça taxar importação de carros mexicanos,06/04/2019 14:40:44
